verb,gloss,class,class_name,transitive,stem,past_stem,kind,paradigm,paradigm_na,paradigm_en,person,person_en,honorific,subject,subject_marking,needs_check,form,aksara,morphemes,rules
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,ma,1st person · singular,no,म,nominative,no,गर्छु,ग र्छु,stem:गर् + end:छु,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,hami,1st person · plural,no,हामी(हरू),nominative,no,गर्छौँ,ग र्छौँ,stem:गर् + end:छौँ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,ta,2nd person · low grade,no,तँ,nominative,no,गर्छस्,ग र्छ स्,stem:गर् + end:छस्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,गर्छौ,ग र्छौ,stem:गर् + end:छौ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,गर्नुहुन्छ,ग र्नु हु न्छ,stem:गर्नु + aux:हुन्छ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,गर्छ,ग र्छ,stem:गर् + end:छ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,गर्छन्,ग र्छ न्,stem:गर् + end:छन्,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,habpres,अभ्यस्त वर्तमान,habitual present,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,गर्नुहुन्छ,ग र्नु हु न्छ,stem:गर्नु + aux:हुन्छ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,ma,1st person · singular,no,म,nominative,no,गर्दैछु,ग र्दै छु,stem:गर् + end:दै + aux:छु,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,hami,1st person · plural,no,हामी(हरू),nominative,no,गर्दैछौँ,ग र्दै छौँ,stem:गर् + end:दै + aux:छौँ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,ta,2nd person · low grade,no,तँ,nominative,no,गर्दैछस्,ग र्दै छ स्,stem:गर् + end:दै + aux:छस्,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,timi,2nd person · mid grade,no,तिमी(हरू),nominative,no,गर्दैछौ,ग र्दै छौ,stem:गर् + end:दै + aux:छौ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,tapai,2nd person · high grade,yes,तपाईं(हरू),nominative,no,गर्दै हुनुहुन्छ,ग र्दै   हु नु हु न्छ,stem:गर् + end:दै + aux: हुनुहुन्छ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,u,3rd person · low grade,no,ऊ / त्यो,nominative,no,गर्दैछ,ग र्दै छ,stem:गर् + end:दै + aux:छ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,uni,3rd person · mid grade,no,उनी / उनीहरू,nominative,no,गर्दैछन्,ग र्दै छ न्,stem:गर् + end:दै + aux:छन्,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,prescont,वर्तमान निरन्तर,present continuous,uha,3rd person · high grade,yes,उहाँ / वहाँ,nominative,no,गर्दै हुनुहुन्छ,ग र्दै   हु नु हु न्छ,stem:गर् + end:दै + aux: हुनुहुन्छ,empty-base > concatenate > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,ma,1st person · singular,no,मैले,ergative -ले,no,गरेको छु,ग रे को   छु,stem:गर् + end:एको + aux: छु,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,hami,1st person · plural,no,हामी(हरू)ले,ergative -ले,no,गरेका छौँ,ग रे का   छौँ,stem:गर् + end:एका + aux: छौँ,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,ta,2nd person · low grade,no,तैंले,ergative -ले,no,गरेको छस्,ग रे को   छ स्,stem:गर् + end:एको + aux: छस्,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,timi,2nd person · mid grade,no,तिमी(हरू)ले,ergative -ले,no,गरेको छौ,ग रे को   छौ,stem:गर् + end:एको + aux: छौ,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,tapai,2nd person · high grade,yes,तपाईं(हरू)ले,ergative -ले,no,गर्नुभएको छ,ग र्नु भ ए को   छ,stem:गर्नु + aux:भएको छ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,u,3rd person · low grade,no,उसले / त्यसले,ergative -ले,no,गरेको छ,ग रे को   छ,stem:गर् + end:एको + aux: छ,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,uni,3rd person · mid grade,no,उनले / उनीहरूले,ergative -ले,no,गरेका छन्,ग रे का   छ न्,stem:गर् + end:एका + aux: छन्,empty-base > virama-matra-fusion > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,presperf,वर्तमान पूर्ण,present perfect,uha,3rd person · high grade,yes,उहाँले,ergative -ले,no,गर्नुभएको छ,ग र्नु भ ए को   छ,stem:गर्नु + aux:भएको छ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,ma,1st person · singular,no,मैले,ergative -ले,no,गरेँ,ग रेँ,stem:गर् + end:एँ,empty-base > virama-matra-fusion
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,hami,1st person · plural,no,हामी(हरू)ले,ergative -ले,no,गर्यौँ,ग र्यौँ,stem:गर् + end:यौँ,empty-base > concatenate
गर्नु,to do,C,व्यञ्जनान्त,yes,गर्,गर्,finite,past,सामान्य भूत,simple past,ta,2nd person · low grade,no,तैंले,ergative -ले,no,गरिस्,ग रि स्,stem:गर् + end:इस्,empty-base > virama-matra-fusion
